# fen	move_played	grade	source
B:W21,23,24,28,29,32,40,43,46:B3,6,9,10,13,16	16x49	!	deel1:p255
W:W22,24,27,31,32,33,37,40,41,45,46:B2,4,6,8,11,12,13,16,18,21,23,26	33-28	?	deel1:p256
B:W22,27,31,32,34,37,41,45,46:B2,6,10,11,12,16,21,26,35	11-17	!	deel1:p256
B:W25,27,28,30,31,32,35,36,37,40,46,48:B6,11,12,13,14,16,19,21,23,24,26,29	12-18	?	deel1:p256
W:W25,27,28,30,31,32,35,36,37,40,46,48:B6,11,13,14,16,18,19,21,23,24,26,29	27-22	!	deel1:p256
W:W25,28,30,31,35,36,37,40,46,48:B6,11,13,14,16,19,21,23,24,26,29,38	40-34	!	deel1:p256
W:WK1,25,26,30,33,35:B5,10,14,20,37	33-29	??	deel1:p258
W:WK1,25,26,29,30,35:B5,14,15,20,37	29-24	??	deel1:p258
W:WK45,25,26,30,35:B5,15,19,37	30-24	?	deel1:p258
W:WK45,24,25,26:B5,15,41	24-19	?	deel1:p258
W:W25,30,31,32,35,36,38,39,40:B5,10,11,14,19,20,22,23,24	39-33	!	deel1:p258
W:W25,26,27,30,35,38,40,43:B5,10,11,14,19,20,24,28	27-21	?	deel1:p258
W:W25,26,27,30,34,35,43:B5,10,11,14,19,20,33	34-29	!	deel1:p259
W:W27,28,29,30,31,32,34,35,37,41,46:B6,8,10,12,13,16,18,19,20,21,26	30-25	?	deel1:p260
W:W24,27,31,32,36,37,39,46:B6,8,12,13,15,16,18,25,26	32-28	!	deel1:p260
B:W27,31,32,33,37,39,41,45,46:B2,6,12,16,17,18,21,26,35	2-8	?	deel1:p261
W:W25,27,28,31,32,35,36,37,38,39,46:B6,11,13,14,16,18,19,21,24,26,29	27-22	?	deel1:p261
B:WK2,25,32,35,36,38,46:BK49,6,14,16,19,24,29	19-23	!	deel1:p261
B:WK30,14,18,32,35,36,46:BK49,6,16	49x48	!	deel1:p261
B:W20,27,29,31,32,33,34,37,41,46,48:B3,6,8,9,11,13,14,16,21,25,26	13-19	!	deel1:p262
W:W23,25,27,29,31,32,37,41,46:B3,9,11,13,14,16,17,21,26	29-24	!	deel1:p262
B:W19,27,31,32,37,41,46:B3,11,16,18,21,25,26	18-23	!	deel1:p262
W:W27,28,29,31,32,34,37,41,46:B6,9,11,16,18,20,21,26,35	28-22	!	deel1:p262
B:WK9,34,36,37,41:BK49,6,16,17,20,26,35	49-43	!	deel1:p262
W:W24,27,31,32,34,37,39,41,46:B11,13,16,17,18,21,25,26	34-29	!	deel1:p263
B:W9,21,24,29,31,37,39,41,46:B16,25,26	16x47	??	deel1:p263
W:W27,29,31,32,33,34,35,37,39,41,46:B6,11,14,15,16,17,18,19,21,26	29-24	?	deel1:p264
B:W23,28,29,32,34,39,40,46:B11,12,13,16,17,25,30	12-18	?	deel1:p264
W:W28,29,34,39,40,46:B11,13,25,30,38	29-24	!	deel1:p264
B:W27,29,31,32,33,34,35,37,39,41,45,46,48,49:B3,6,8,9,11,12,13,15,16,17,18,20,21,26	13-19	?	deel1:p264
W:W27,31,32,34,35,37,41,42,46:B2,3,4,12,16,18,21,24,26	34-30	?	deel1:p265
W:W28,30,32,33,35,46:B2,3,10,17,21,22	30-24	!	deel1:p265
W:W24,28,32,33,35,46:B2,3,10,17,21,27	28-22	!	deel1:p265
W:WK41,24,46:BK48,2,3,33	24-19	!	deel1:p265
W:W23,27,31,32,37,39,41,46:B2,6,9,11,15,16,21,26	32-28	!	deel1:p266
B:W27,30,31,32,35,37,41,42,46:B2,3,4,12,16,18,21,24,26	3-9	?	deel1:p266
B:W19,27,31,32,35,37,41,42,46:B2,4,9,12,16,18,21,26	9-13	?	deel1:p266
B:WK1,36,38,45:B3,5,12,16,23,26,28,35	35-40	!	deel1:p267
B:W25,28,32,33,35,36,37,38,39,43,45:B3,5,10,12,14,16,19,20,21,24,26	12-18	?	deel1:p268
B:W24,27,29,31,32,34,37,39,40,41,43,44,46,48:B3,4,6,8,9,13,14,15,16,17,18,21,25,26	14-19	?	deel1:p268
W:W15,25,27,31,32,37,41,43,44,46,50:B4,9,12,13,16,18,19,21,22,26,45	25-20	?	deel1:p269
B:W27,29,31,32,34,35,37,39,40,41,42,43,44,46,48,49,50:B2,3,4,6,9,11,12,13,14,15,16,18,20,21,23,25,26	23-28	?	deel1:p269
W:W24,28,29,40,46:BK49,3,6,9,10,13	29-23	!	deel1:p269
B:W18,31,32,37,41,46:B3,6,16,17,21,26	17-22	!	deel1:p269
B:W27,29,31,32,35,37,38,41,45,46,50:B2,4,6,14,15,16,17,18,21,25,26	25-30	!	deel1:p270
B:W24,27,29,31,32,37,38,41,45,46,50:B2,4,6,14,15,16,17,18,21,26	6-11	!!	deel1:p270
B:W18,25,27,31,32,35,37,39,40,41,46,48,50:B1,6,8,9,10,11,14,16,17,19,20,21,26	17-22	?	deel1:p270
W:W18,25,27,31,32,35,37,39,40,41,46,48,50:B1,6,8,9,10,11,14,16,19,20,21,22,26	32-28	!	deel1:p270
W:W25,30,31,34,35,37,38,39,41,42,44,48:B2,5,8,10,11,14,16,19,20,23,24,28	38-33	?	deel1:p270
B:W24,27,29,31,32,34,37,39,41,42,43,44,46:B2,4,6,9,10,12,13,15,16,18,21,25,26	10-14	!	deel1:p270
W:W24,27,29,31,32,34,37,39,41,42,43,44,46:B2,4,6,9,12,13,14,15,16,18,21,25,26	32-28	?	deel1:p270
B:WK21,19,31,37,41,42,43,44,46:B2,6,16,18,26	16x40	!	deel1:p270
B:W18,23,27,31,32,37,39,40,41,46:B4,6,9,11,16,17,21,25,26,30	9-13	?	deel1:p270
W:W23,27,31,32,37,39,40,41,46:B6,11,13,16,17,21,25,26,30	23-19	!	deel1:p270
W:W23,25,27,30,31,32,37,38,39,40,41,45,46,47,48:B1,2,3,4,6,8,9,12,14,15,16,17,20,21,26	23-18	?	deel1:p271
B:W10,25,32,39,40,43,45,46,47,48:B1,2,3,4,6,8,9,15,16,17	9-14	!	deel1:p271
B:W27,29,31,32,34,37,39,41,43,44,45,46:B2,6,13,14,15,16,18,20,21,22,23,26	20-25	?	deel1:p272
W:W25,26,28,30,34,35,36,37,40,43,47,49:B3,5,7,8,10,12,14,17,18,19,20,24	28-23	!	deel1:p272
W:W25,30,32,33,34,35,37,38,39,40,43,45,48:B1,3,5,6,10,13,14,18,19,20,22,24,26	32-28	?	deel1:p272
B:W25,28,30,33,34,35,37,38,39,40,43,45,48:B1,3,5,6,10,13,14,18,19,20,22,24,26	3-8	!	deel1:p272
B:W25,27,28,29,30,32,33,35,39,42,44,47:B2,5,10,14,16,17,18,19,20,21,24,26	19-23	?	deel1:p272
W:W19,25,27,28,32,33,35,42,44,47:B2,5,10,14,16,17,18,20,21,26,43	19-13	?	deel1:p273
B:WK3,32,35,36,42,47:B2,5,10,16,17,21,23	21-26	!	deel1:p273
W:W19,25,27,28,32,33,35,42,44,47:B2,5,10,14,16,17,18,20,21,26,43	42-38	!	deel1:p273
W:W27,31,32,37,38,40,41,43,46,47,48,50:B9,10,14,16,18,20,21,23,26,28,29,34	41-36	!	deel1:p274
B:W25,28,29,30,32,33,35,36,43,47:B5,10,11,14,16,18,19,20,24,26	19-23	?	deel1:p274
B:W14,19,32,33,35,36,38,42,43,46,49:B3,5,6,10,16,21,22,26,27,34	34-40	!	deel1:p275
B:W25,32,33,35,36,38,39,42,43,46,49:B3,5,6,10,16,18,20,21,24,26,27	24-30	!	deel1:p275
W:W25,32,33,36,38,39,43,46,49:BK48,3,5,6,16,21,23	36-31	!	deel1:p275
W:W19,25,28,32,33,35,36,38,42,43,46,49:B3,5,6,10,14,16,18,20,21,26,27,34	28-23	?	deel1:p275
W:W25,28,32,33,36,38,39,42,43,46,49:B3,5,6,10,16,20,21,22,23,26,27	28x19	?	deel1:p275
W:W25,28,32,33,36,38,39,42,43,46,49:B3,5,10,11,16,18,20,21,23,26,27	28x19	?	deel1:p275
W:W25,28,32,33,36,38,39,42,43,46,49:B3,5,10,11,16,18,20,21,23,26,27	25x14	?	deel1:p275
W:W28,32,33,36,38,39,42,43,46,49:B3,5,11,16,18,19,21,23,26,27	28-22	?	deel1:p275
W:W18,25,27,30,31,32,35,37,41,43,44,46:B5,6,8,10,14,16,19,20,21,24,26,33	43-39	?	deel1:p276
B:WK4,25,31,37,41,46,48:B2,3,5,6,8,12,14,16,26	12-17	!	deel1:p277
W:W25,30,31,32,33,35,36,37,38,43,48:B3,6,9,12,13,14,15,16,19,23,26	30-24	!	deel1:p313
B:W29,31,32,34,35,36,37,38,43,48:B3,6,9,12,13,14,16,20,23,26	12-17	??	deel1:p314
W:W31,32,34,35,36,37,38,43,48:B3,6,9,14,16,17,20,22,26	32-27	!	deel1:p314
W:W29,31,32,34,35,36,37,38,43,48:B3,6,9,13,14,16,18,20,23,26	35-30	!	deel1:p314
W:W29,30,31,32,34,36,37,38,43,48:B3,6,9,14,16,18,19,20,23,26	38-33	!	deel1:p314
W:W30,31,32,33,34,36,37,43,48:B3,6,9,16,18,19,23,25,26	43-39	!	deel1:p314
W:W27,28,30,32,34,36,37,39,48:B8,11,13,16,18,19,23,25,26	39-33	!	deel1:p314
B:W27,28,30,32,33,34,36,37,48:B8,11,13,16,18,19,23,25,26	19-24	?	deel1:p314
W:W21,26,29,31,34,36,38,43,45,50:B3,6,7,10,11,12,17,18,19,20	45-40	?	deel1:p352
W:W27,31,32,33,34,39,40,44,45:B8,14,15,17,18,20,22,25,30	33-29	!	deel1:p352
B:W22,23,28,29,32,34,37,39,40,42,44,45:B4,6,9,11,12,14,16,17,20,21,25,30	21-27	!	deel1:p352
W:W21,26,28,31,32,36,38,39,40,44:B6,7,11,12,15,17,20,25,29,30	39-34	!	deel1:p353
B:W24,26,28,31,32,34,36,38,39,42,43,44,45,48:B3,6,8,9,11,12,13,15,20,25	20x49	!	deel1:p353
B:W23,27,28,32,34,39,40,44,45:B13,15,16,17,20,24,25,26,30	26-31	!	deel1:p354
B:W21,26,28,31,32,33,34,36,38,39,42,43,45,48,50:B3,4,6,7,8,9,11,12,13,17,18,19,24,25,35	18-23	?	deel1:p354
B:W21,26,30,31,32,34,35,36,37,38,39,40,43,44,45,48,49:B3,6,7,8,9,10,11,12,13,14,17,18,19,20,23,24,25	18-22	?	deel1:p354
B:W26,28,29,31,33,34,35,36,38,39,40,42,43,44,45:B3,5,8,11,12,13,14,15,17,18,20,22,24,25,27	24-30	?	deel1:p355
W:W23,26,28,31,33,34,36,38,39,40,42,43,44,45:B3,5,8,11,12,13,15,17,18,20,22,25,27,30	23-19	!	deel1:p355
B:W21,26,31,33,34,36,37,38,39,40,42,43,44,45,48:B1,3,6,7,8,9,11,12,13,14,15,17,23,25,30	23-28	?	deel1:p355
B:W15,21,22,26,34,36,37,39,40,42,44:B4,6,7,8,11,19,23,25,30,35	11-16	?	deel1:p355
W:W23,27,32,34,39,40,44,45:B13,14,15,16,17,20,25,30	32-28	?	deel1:p355
W:W27,28,34,39,40,44,45:B9,13,15,16,17,25,30	28-22	?	deel1:p355
W:W21,25,26,30,31,32,35,36,38,40,42,45:B6,7,9,11,12,13,15,17,18,19,23,24	25-20	!	deel1:p355
W:W21,24,26,31,36,49:B6,7,11,12,13,17,32	49-43	!	deel1:p356
B:W27,28,34,37,39,40,44,45:B15,17,18,19,20,25,26,30	19-23	!	deel1:p357
B:W24,26,39,44,45:B7,16,25,28,33	25-30	!	deel1:p357
W:W24,26,29,33,34,36,37,39,40,43,47,49:B6,7,8,9,11,12,14,15,17,18,20,27	29-23	!	deel1:p358
W:W26,27,29,31,32,33,35,36,38,39,40,43,45,47,48,49:B3,6,7,8,9,10,11,12,13,14,15,16,17,18,20,24	27-21	!	deel1:p358
B:W15,21,26,28,31,35,36,49:B6,7,11,12,14,17,24,34	24-30	?	deel1:p360
W:W21,26,28,31,32,33,35,36,37,45,48,49:B3,6,7,8,11,12,13,15,17,18,20,24	32-27	!	deel1:p361
B:W21,25,26,28,31,32,33,35,36,37,45,48,49:B3,6,7,8,9,11,12,13,14,15,17,18,24	24-29	!	deel1:p361
B:W21,24,25,26,28,31,32,35,36,37,45,48,49:B3,6,7,8,9,11,12,13,14,15,17,18	18-22	!	deel1:p361
B:W21,24,26,31,32,33,34,36,38,39,40:B6,7,10,11,12,13,14,15,17,18,25	18-22	?	deel1:p362
W:W21,24,26,31,32,33,34,36,38,39,40:B6,7,10,11,12,13,14,15,17,22,25	32-28	!	deel1:p362
B:W21,24,26,28,31,33,34,36,38,39,40:B6,7,10,11,12,13,14,15,17,22,25	11-16	?	deel1:p362
W:W21,24,26,28,31,33,34,36,38,39,40:B6,7,10,12,13,14,15,16,17,22,25	24-19	!	deel1:p362
W:W26,31,36,49:B6,7,12,15,17,18,27,33	31x2	!	deel1:p362
W:W21,25,26,30,31,34,35,36,38,40,42,43,45,46,48:B3,6,7,8,9,11,12,13,14,17,19,20,22,23,29	46-41	?	deel1:p362
W:W21,26,30,32,33,34,35,36,37,38,42:B6,7,8,11,12,14,17,18,19,23,24	37-31	!!	deel1:p362
B:W10,21,26,31,33,35,36,38:BK48,6,7,8,11,12,17,18	18-22	!	deel1:p362
B:WK5,21,26,31,33,35,36,38:BK48,6,7,8,11,12,17,22	22-27	!	deel1:p362
W:W26,27,29,31,32,33,35,36,38,39,40,43,45,47,48,49:B3,6,7,8,9,10,11,12,13,14,15,16,17,18,20,24	27-21	?	deel1:p364
B:W21,26,29,31,33,35,36,38,39,40,43,45,47,48,49:B3,6,7,8,9,10,11,12,13,14,15,17,18,20,24	18-22	!	deel1:p364
B:W21,26,29,33,35,36,39,40,42,43,45,48,49:B3,6,7,8,9,10,11,12,13,14,15,20,24,37	37-41	!	deel1:p364
W:W26,29,38,39,41,42,43,44,45,46,47:B3,7,10,11,17,18,19,20,25,27,35	29-24	!	deel1:p366
W:W17,26,27,32,34,39,40,42,44,45:B2,6,8,15,18,19,20,23,25,30	27-21	!	deel1:p366
B:W23,28,29,31,32,34,37,38,39,40,44,45,47:B4,6,9,11,12,14,16,17,19,20,25,30	16-21	!	deel1:p375
W:W22,32,37:B7,19,23,30	22-18	!	deel1:p381
B:W22,27,28,32,33,34,35,38,41,43,45:B8,9,13,16,18,19,20,23,24,25,26	8-12	?	deel1:p383
W:W22,27,28,32,33,34,35,38,41,43,45:B9,12,13,16,18,19,20,23,24,25,26	22-17	!	deel1:p383
W:W27,28,32,33,34,35,38,41,43,45:B9,13,16,18,19,20,21,23,24,25,26	41-37	!	deel1:p383
W:W29,31,33,34,35,37,38,45:B13,15,16,20,21,24,25,26	33-28	!!	deel1:p384
W:W31,34,35,37,38,45:B13,15,16,20,21,22,25,26	35-30	!	deel1:p384
B:WK22,26,27,32,35,38,41,42,43,44,45,47,49:B3,7,11,12,17,34,36	17x50	!	deel1:p414
B:WK3,25,27,29,30,32,35,37,38,43,48:B4,5,9,11,13,14,15,16,19,28	13-18	!	deel1:p414
W:WK2,26,27,32,38,43:B12,13,17,18,19,34,39	27-21	!	deel1:p415
W:WK2,21,26,32,38:BK48,12,13,17,18,19,34	2-7	!	deel1:p415
B:W26,30,31,33,34,35,36,39,42,43,44,47,49:B2,6,11,12,13,15,17,19,20,22,23,25,27	20-24	?	deel1:p415
W:W26,30,31,33,34,35,36,39,42,43,44,47,49:B2,6,11,12,13,15,17,19,22,23,24,25,27	34-29	!	deel1:p415
B:W22,25,28,30,32,33,35,36,37,38,41,42,48:B2,3,6,10,11,12,14,16,17,19,21,24,26	10-15	!	deel1:p415
W:W25,30,35,36,37,38,39,41,42,48:B2,3,6,11,12,14,15,16,21,26,28	38-32	?	deel1:p415
B:W31,32,34,35,37,38,39,40,41,42,43,45,47,48,49,50:B1,2,3,4,5,6,7,8,9,13,14,15,16,21,24,26	21-27	!	deel1:p416
B:W13,23,26,32,35,38,39,40,41,42,43,45,47,48,49,50:B1,2,3,4,5,6,7,8,9,14,15,16	8x46	!	deel1:p416
W:W33,35,39,48:B7,9,13,14,15,17,21,28	33x2	!	deel1:p423
W:W16,21,22,26,36,38,39,40,42,43,45,50:B3,6,7,8,11,13,14,15,19,23,25,29	40-34	!	deel1:p425
W:W16,21,22,24,26,34,36,38,42,43,50:B3,6,7,8,11,13,15,20,23,25	22-17	!	deel1:p425
W:W16,17,21,26,36,38,42,43,50:B3,6,7,8,11,13,15,23,25,40	17-12	!!	deel1:p425
W:WK4,38:B12,14,15,39	4-22	!	deel1:p431
W:W17,23,27,28,32,34,37,38,39:B2,8,9,10,16,24,25,26,30	17-11	!	deel1:p432
B:WK4,36,37,38,42,48:B2,6,8,11,14,19,25,26	11-17	!	deel1:p433
B:WK4,33,36,38:B2,6,8,11,14,19,25	11-17	!	deel1:p433
W:W23,28,33,35,37,38,39,48:B7,9,13,14,15,19,21,26	28-22	!	deel2:p4
B:W23,27,28,31,32,33,34,35,36,37,38,39,40,42,43,45,46:B1,2,3,5,6,8,9,10,12,13,14,15,16,19,20,25,26	2-7	?	deel2:p4
W:W23,27,28,31,32,33,34,35,36,37,38,39,40,42,43,45,46:B1,3,5,6,7,8,9,10,12,13,14,15,16,19,20,25,26	28-22	!	deel2:p4
W:W31,32,33,34,35,36,37,38,39,40,42,43,45,46:B1,3,5,6,7,8,9,10,12,13,14,15,17,20,25,26,27	31x2	!	deel2:p4
W:WK2,40,50:B13,14,20,21,35,44	2x10	!	deel2:p6
W:W22,25,28,32,33,34,35,36,37,38,39,43:B3,6,8,12,13,14,16,19,21,23,24,26	34-29	!	deel2:p35
B:W22,28,29,32,33,34,35,37,38,39,40,42,44,45,48,49:B2,3,8,9,10,12,13,14,15,16,19,20,21,24,25,26	2-7	?	deel2:p35
W:W23,25,27,28,29,32,33,37,39,45,47:B3,9,12,14,15,16,17,19,21,26,35	27-22	!	deel2:p36
B:W23,25,27,28,29,32,33,35,37,38,39,40,44:B1,4,10,12,13,14,16,18,19,20,21,24,26	1-7	!	deel2:p37
B:WK2,23,29,38,39,40,44:B4,10,12,13,16,21,27,35	27-32	!	deel2:p37
B:WK2,K5,29,38,39,40,44:B4,12,13,16,19,21,27,35	19-24	!	deel2:p37
B:W11,25,39,40:B4,12,13,14,21,24	12-17	!	deel2:p38
B:W22,25,39,40:B4,13,14,21,24	14-19	!	deel2:p38
B:W22,28,30,32,33,34,35,37,38,39,43,45,48:B2,8,9,12,13,14,15,16,19,20,24,25,26	2-7	?	deel2:p38
B:W28,31,32,33,35,36,37,38,39,40,43,44,45,48:B3,4,6,7,8,9,10,13,14,15,16,19,25	13-18	!	deel2:p39
B:W22,28,29,32,33,34,35,36,37,38,39,40,43,44,45,49:B2,3,4,8,9,10,12,13,14,15,16,19,20,21,25,26	12-18	?	deel2:p40
W:WK2,27,28,34,35,40,43,44,45,48,49:B4,6,8,9,10,13,14,15,16,17,18,20,25	28-22	!	deel2:p41
B:W23,27,28,30,31,33,35,37,38,39,43,44,45,48:B1,2,4,8,9,11,12,13,14,16,19,20,24,26	13-18	?	deel2:p42
B:W23,25,27,28,30,32,35,37,38,39,40,41,42,45,46,48:B2,3,4,6,8,9,11,12,13,14,15,16,19,21,24,26	13-18	?	deel2:p42
W:W14,27,35,38,39,40,41,42,45,46,48:B2,3,6,8,9,11,12,15,16,17,18,21,28	39-33	!	deel2:p42
W:WK4,14,35,37,40,42,45,46,48:BK21,2,3,6,8,11,12,15,16,17	40-34	!	deel2:p43
B:W23,24,27,28,29,32,33,34,36,37,38,39,47,48,49:B2,4,6,8,9,11,12,13,14,15,16,18,21,25,26	15-20	!?	deel2:p43
W:W15,23,27,28,29,32,33,34,36,37,38,39,47,48,49:B2,4,6,8,9,11,12,14,16,18,19,21,25,26	15-10	!?	deel2:p43
B:W22,28,29,32,33,36,37,38,39,40,44,48,50:B3,4,6,7,8,9,12,13,16,19,21,25,35	21-27	!	deel2:p43
W:W27,28,31,32,33,35,36,37,38,39,40,45,48:B6,7,8,9,12,13,14,16,18,19,24,25,26	27-22	!	deel2:p44
W:W22,28,32,33,35,36,37,38,39,40,45,48:B6,7,8,9,13,14,16,18,19,24,25,26	32-27	!	deel2:p44
B:W23,24,27,28,29,32,33,34,35,37,39:B2,8,13,14,15,16,17,20,21,25,26	13-19	?	deel2:p44
W:W23,27,28,29,32,33,34,35,37,39:B2,14,15,16,17,19,20,21,25,26	35-30	!	deel2:p44
B:W22,25,27,28,32,33,35,37,38,39,43,46,49:B6,8,13,14,15,16,18,19,20,21,23,24,26	23-29	?	deel2:p44
B:W22,25,28,32,33,34,36,37,39,42,43,44,50:B3,4,6,7,9,11,13,14,16,19,23,26,30	16-21	?	deel2:p44
B:WK2,25,36,38,39,43,44,50:B3,4,6,9,13,14,16,21,30,34	30-35	!	deel2:p44
W:WK5,25,36,38,39,43,44,50:B3,4,6,9,16,21,35,40	5-23	!	deel2:p45
W:WK23,25,36,38,39,43,50:BK49,3,4,6,9,16,21,35	23-45	!	deel2:p45
W:W23,25,28,33,37,38,39,40,50:B3,7,9,13,14,15,20,24,26	38-32	!	deel2:p45
W:W23,25,28,31,33,35,37,38,39,50:B8,9,11,13,14,15,19,20,21,26	35-30	!!	deel2:p46
B:W22,28,32,33,34,36,37,38,39,40,43,45:B6,7,8,9,13,14,15,16,19,21,23,24	21-26	?	deel2:p46
B:W18,22,23,28,32,33,37,38,39,45,50:B2,6,7,9,14,16,19,21,24,25,26	2-8	?	deel2:p46
W:W22,28,32,33,34,35,36,37,38,39,42,43,45,48:B2,3,7,8,9,13,15,16,19,20,21,24,25,26	28-23	?	deel2:p46
